City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,san patricio,28.017,-97.5169,30.920000000000016,51,69,4.26,US,1685202342
67,mataura,-46.1927,168.8643,4.590000000000032,91,1,1.61,NZ,1685202418
68,georgetown,5.4112,100.3354,28.960000000000036,76,20,0.51,MY,1685202315
69,kerema,-7.9631,145.7785,25.07000000000005,91,100,1.26,PG,1685202420
70,san onofre,9.7359,-75.5263,28.870000000000005,74,99,0.63,CO,1685202421
71,port-gentil,-0.7193,8.7815,28.980000000000018,79,20,7.2,GA,1685202422
72,hithadhoo,-0.6,73.0833,28.54000000000002,75,100,3.98,MV,1685202424
73,jamestown,42.097,-79.2353,21.680000000000007,35,0,2.06,US,1685202381
74,upernavik,72.7868,-56.1549,-5.589999999999975,92,100,5.12,GL,1685202426
75,santa cruz,-17.8,-63.1667,25.0,82,100,4.32,BO,1685202256
76,nikolskoye,59.7035,30.7861,12.939999999999998,49,84,3.75,RU,1685202428
77,vargashi,55.3556,65.8467,19.210000000000036,52,34,3.4,RU,1685202429
78,betsiamites,48.9413,-68.646,17.220000000000027,55,5,4.74,CA,1685202430
79,clyde river,70.4692,-68.5914,-3.8700000000000045,63,40,2.06,CA,1685202431
80,vilhena,-12.7406,-60.1458,29.120000000000005,61,0,4.63,BR,1685202272
81,kulhudhuffushi,6.6221,73.07,29.370000000000005,74,11,6.01,MV,1685202433
82,yellowknife,62.456,-114.3525,8.29000000000002,81,100,5.14,CA,1685202434
83,kapaa,22.0752,-159.319,23.180000000000007,77,20,4.63,US,1685202350
84,bambous virieux,-20.3428,57.7575,24.140000000000043,83,75,6.17,MU,1685202436
85,plainview,40.7765,-73.4673,24.890000000000043,37,0,3.6,US,1685202437
86,kieta,-6.2167,155.6333,25.930000000000007,87,57,0.65,PG,1685202438
87,barrow,71.2906,-156.7887,-1.9899999999999523,74,0,6.69,US,1685202439
88,labuhan,-6.8844,112.2051,24.54000000000002,77,47,4.13,ID,1685202440
89,ushibuka,32.1906,130.0228,19.260000000000048,81,89,3.18,JP,1685202441
90,turukhansk,65.8167,87.9833,11.480000000000018,65,11,1.99,RU,1685202442
91,atuona,-9.8,-139.0333,26.930000000000007,77,77,7.75,PF,1685202334
92,baykit,61.67,96.37,4.210000000000036,81,43,2.26,RU,1685202444
93,sanwer,22.9833,75.8333,32.360000000000014,29,41,5.11,IN,1685202445
94,shimoda,34.6667,138.95,16.170000000000016,80,26,1.88,JP,1685202447
95,cidreira,-30.1811,-50.2056,21.430000000000007,86,100,4.82,BR,1685202448
96,guerrero negro,27.9769,-114.0611,17.57000000000005,69,20,8.53,MX,1685202449
97,cayeli,41.0923,40.7292,19.07000000000005,89,69,0.66,TR,1685202450
98,thompson,55.7435,-97.8558,10.090000000000032,81,100,0.0,CA,1685202451
99,katsuura,35.1333,140.3,18.0,74,88,4.38,JP,1685202452
100,villablino,42.9393,-6.3194,21.879999999999995,62,99,2.61,ES,1685202453
101,colquechaca,-18.6667,-66.0167,7.340000000000032,26,99,1.88,BO,1685202454
102,achacachi,-16.05,-68.6833,11.460000000000036,58,100,3.21,BO,1685202455
103,cortez,37.3489,-108.5859,18.910000000000025,30,0,2.57,US,1685202456
104,sungairaya,0.7,108.9,26.80000000000001,87,100,2.0,ID,1685202457
105,mwinilunga,-11.7358,24.4293,20.220000000000027,34,37,2.16,ZM,1685202458
106,acapulco,16.8634,-99.8901,30.900000000000034,55,75,3.09,MX,1685202361
107,la palma,33.8464,-118.0467,18.340000000000032,78,100,1.54,US,1685202460
108,taltal,-25.4,-70.4833,19.939999999999998,64,12,1.39,CL,1685202461
109,college,64.8569,-147.8028,10.5,77,40,2.57,US,1685202462
110,talara,-4.5772,-81.2719,26.420000000000016,73,40,8.23,PE,1685202463
111,macenta,8.5435,-9.471,32.07000000000005,43,100,2.21,GN,1685202464
112,tulun,54.5611,100.5792,5.220000000000027,74,56,1.73,RU,1685202465
113,santiago del estero,-27.7951,-64.2615,16.0,63,100,8.24,AR,1685202466
114,chara,56.9064,118.2631,4.160000000000025,52,69,2.2,RU,1685202467
115,gat,31.61,34.7642,31.55000000000001,29,100,2.88,IL,1685202468
116,paragominas,-2.9667,-47.4833,28.970000000000027,73,23,2.1,BR,1685202254
117,comodoro rivadavia,-45.8667,-67.5,7.920000000000016,34,0,7.2,AR,1685202470
118,makakilo city,21.3469,-158.0858,23.180000000000007,80,0,2.06,US,1685202471
119,alfred,42.2542,-77.7906,21.52000000000004,37,3,1.34,US,1685202472
120,flin flon,54.7682,-101.865,8.910000000000025,93,100,1.54,CA,1685202473
121,mahanoro,-19.9,48.8,22.30000000000001,87,63,2.85,MG,1685202474
122,codrington,-38.2667,141.9667,11.910000000000025,91,100,6.77,AU,1685202475
123,fonte boa,-2.4959,-66.2662,28.629999999999995,84,85,0.38,BR,1685202476
